Data;Dia;Hora;BTN A;BTN B;BTN C;IP
17/set/2023;dom;14:30;0,0276946;0,0282350;0,0277042;0,0000003
17/set/2023;dom;14:45;0,0274988;0,0281643;0,0272109;0,0000003
17/set/2023;dom;15:00;0,0272890;0,0278636;0,0268648;0,0000003
17/set/2023;dom;15:15;0,0270097;0,0274903;0,0265339;0,0000003
17/set/2023;dom;15:30;0,0266977;0,0269769;0,0262644;0,0000003
17/set/2023;dom;15:45;0,0264064;0,0266130;0,0260045;0,0000003
17/set/2023;dom;16:00;0,0261145;0,0262607;0,0258557;0,0000003
17/set/2023;dom;16:15;0,0258646;0,0260246;0,0257401;0,0000003
17/set/2023;dom;16:30;0,0256255;0,0258324;0,0256422;0,0000003
17/set/2023;dom;16:45;0,0254634;0,0257798;0,0255766;0,0000003
17/set/2023;dom;17:00;0,0253238;0,0257654;0,0255437;0,0000003
17/set/2023;dom;17:15;0,0252429;0,0257030;0,0256456;0,0000003
17/set/2023;dom;17:30;0,0252058;0,0256230;0,0259002;0,0000003
